AB型血	AB型血 🆎️
插头	插头 🔌️
扬声器	扬声器 🔈️
换汇	换汇 💱️
换脸	换脸 🎭️
握手	握手 🤝🏻
握笔	握笔 ✍🏻️
挥手	挥手 👋🏻️
挥洒	挥洒 💦️
搋子	搋子 🪠
摇摇	摇摇 🪀
摇杆	摇杆 🕹️
摇滚	摇滚 🤘🏻️ 🫨
摇头	摇头 🫨
搜寻	搜寻 🔍️
搜索	搜索 🔍️
搭的	搭的 🚖️
摔跤	摔跤 🤼🏻
摔跤女	摔跤女 🤼🏻‍♀️
摔跤男	摔跤男 🤼🏻‍♂️
摩天轮	摩天轮 🎡️
摩托	摩托 🏍️
摩托艇	摩托艇 🛥️
摩托车	摩托车 🏍️
摩洛哥	摩洛哥 🇲🇦
摩尔多瓦	摩尔多瓦 🇲🇩
摩纳哥	摩纳哥 🇲🇨
摩羯座	摩羯座 ♑️
折扇	折扇 🪭
撅嘴	撅嘴 😗️
撑伞	撑伞 ☔️
撒拉威阿拉伯	撒拉威阿拉伯 🇪🇭
撒花	撒花 🎉️
撞击	撞击 💥️
掸指	掸指 🤞🏻
撤回	撤回 ↩️
撤销	撤销 ↩️
播放	播放 ⏯️ ▶️
撮	撮 🤌🏻
扑克	扑克 🃏️
拥抱	拥抱 🤗️ 🫂
击中	击中 🎯️
击剑	击剑 🤺
击掌	击掌 🖐🏻️ 🙏🏻️
擕手	擕手 🧑🏻‍🤝‍🧑🏻
扩音器	扩音器 📣️
攀岩	攀岩 🧗🏻
攀岩女	攀岩女 🧗🏻‍♀️
攀岩男	攀岩男 🧗🏻‍♂️
攀登	攀登 🧗🏻
攀登女	攀登女 🧗🏻‍♀️
攀登男	攀登男 🧗🏻‍♂️
摄像	摄像 🎦️
摄像机	摄像机 📹️
摄影机	摄影机 📹️
摊手	摊手 🤷🏻
摊手女	摊手女 🤷🏻‍♀️
摊手男	摊手男 🤷🏻‍♂️
搅基	搅基 👬🏻️
收件匣	收件匣 📥️
收件箱	收件箱 📥️
收信	收信 📩️
收据	收据 🧾
收声	收声 🫢
收费服务	收费服务 🈂️
收邮件	收邮件 📩️
收音机	收音机 📻️
改锥	改锥 🪛
放大镜	放大镜 🔍️ 🔎️
放射	放射 ☢️
放射性	放射性 ☢️
放射线	放射线 ☢️
放映机	放映机 📽️
救命	救命 🆘️
救火	救火 🚒️
救火车	救火车 🚒️
救火队	救火队 🧑🏻‍🚒
救火队女	救火队女 👩🏻‍🚒
救火队男	救火队男 👨🏻‍🚒
救生圈	救生圈 🛟
救生服	救生服 🦺
救生衣	救生衣 🦺
救护车	救护车 🚑️
叙利亚	叙利亚 🇸🇾
教堂	教堂 ⛪️
教师	教师 🧑🏻‍🏫
教师女	教师女 👩🏻‍🏫
教师男	教师男 👨🏻‍🏫
教书	教书 🧑🏻‍🏫
教书女	教书女 👩🏻‍🏫
教书男	教书男 👨🏻‍🏫
敬礼	敬礼 🫡
数字	数字 🔢️
数字光盘	数字光盘 📀️
数字光碟	数字光碟 📀️
数字键盘	数字键盘 🔢️
数码光盘	数码光盘 📀️
数码光碟	数码光碟 📀️
文件	文件 📄️
文件夹	文件夹 📁️
文件档	文件档 📃️
文件柜	文件柜 🗄️
文件袋	文件袋 🗂️
文书	文书 📃️
文档	文档 📄️
斐济	斐济 🇫🇯
斑马	斑马 🦓
斑鸠琴	斑鸠琴 🪕
斜眼	斜眼 😏️
斧	斧 🪓
斧子	斧子 🪓
斯威士兰	斯威士兰 🇸🇿
斯洛伐克	斯洛伐克 🇸🇰
斯洛维尼亚	斯洛维尼亚 🇸🇮
斯诺克	斯诺克 🎱️
斯里兰卡	斯里兰卡 🇱🇰
新	新 🆕️
新加坡	新加坡 🇸🇬
新喀里多尼亚	新喀里多尼亚 🇳🇨
新娘	新娘 👰🏻‍♀️
新娘中性	新娘中性 👰🏻️
新娘子	新娘子 👰🏻‍♀️
新娘男	新娘男 👰🏻‍♂️
新妇	新妇 👰🏻‍♀️
新年	新年 🎆️
新手	新手 🔰️
新月	新月 🌑️
新款	新款 🆕️
新闻	新闻 📰️
新西兰	新西兰 🇳🇿
新郎	新郎 🤵🏻‍♂️
新郎女	新郎女 🤵🏻‍♀️
新邮件	新邮件 📭️
方块	方块 ◽️ ◾️
方片	方片 ♦️
方程式	方程式 🏎️
施工	施工 🚧️
旄牛	旄牛 🦬
旅舍	旅舍 🛌🏻️
旅馆	旅馆 🛌🏻️
旋律	旋律 🎶️
旋转木马	旋转木马 🎠️
旋钮	旋钮 🎛️
旋风	旋风 🌀️
日	日 ☀️ 🌞️
日元	日元 💴️
日光	日光 🌞️
日円	日円 💴️
日出	日出 🌄️
日圆	日圆 💴️
日暮	日暮 🌇️
日历	日历 📅️
日本	日本 🇯🇵
日本国	日本国 🇯🇵
日本娃娃	日本娃娃 🎎️
日本邮局	日本邮局 🏣️
日火	日火 👿️
日落	日落 🌇️
早上好	早上好 🙂️
早晨	早晨 🌄️
旱冰鞋	旱冰鞋 🛼
昆虫	昆虫 🪲
明亮	明亮 🌞️
明星	明星 🌟️ 🧑🏻‍🎤
明星女	明星女 👩🏻‍🎤
明星男	明星男 👨🏻‍🎤
星	星 ⭐️
星光	星光 🌟️
星国	星国 🇸🇬
星型	星型 ✴️
星星	星星 ⭐️
星星眼	星星眼 🤩
星空	星空 🌌️
星系	星系 🌌️
星号	星号 *️⃣️ ✴️
星号键	星号键 *️⃣️
春心	春心 💗️
是吗	是吗 😳️
时计	时计 ⏲️
晚安	晚安 💤️ 😴️
晴	晴 ☀️
晴时多云	晴时多云 🌤️
晴朗	晴朗 ☀️
晴空	晴空 ☀️
智利	智利 🇨🇱
智慧	智慧 😇️
晕	晕 😵‍💫 🥴
晕车	晕车 🥴
暗夜精灵	暗夜精灵 🧝🏻
暗夜精灵女	暗夜精灵女 🧝🏻‍♀️
暗夜精灵男	暗夜精灵男 🧝🏻‍♂️
暂停	暂停 ⏸️
暮光	暮光 🌆️
暮色	暮色 🌆️
晓不得	晓不得 😲️ 🤷🏻
晓不得女	晓不得女 🤷🏻‍♀️
晓不得男	晓不得男 🤷🏻‍♂️
曱甴	曱甴 🪳
曲别针	曲别针 🧷
曲奇	曲奇 🍪️
曲棍球	曲棍球 🏑️ 🏒️
曲棍网球	曲棍网球 🥍
曲谱	曲谱 🎼️
曳引机	曳引机 🚜️
书	书 📖️
书包	书包 🎒️
书卷	书卷 📜️
书呆子	书呆子 🤓️
书写	书写 ✍🏻️
书本	书本 📖️
书签	书签 📑️ 🔖️
曼哈顿	曼哈顿 🗽️
曼岛	曼岛 🇮🇲
月	月 🈷️ 🌙️ 🌝️
月亮	月亮 🌕️ 🌙️ 🌝️
月光	月光 🌝️
月圆	月圆 🌕️
月夜	月夜 🌙️
月弯弯	月弯弯 🌛️ 🌜️
月牙	月牙 🌒️ 🌙️
月球	月球 🌕️
月神	月神 🌝️
月老	月老 💘️
月色	月色 🌃️ 🌙️
月芽	月芽 🌛️ 🌜️
月蚀	月蚀 🌑️
月食	月食 🌑️
月饼	月饼 🥮
月黑风高	月黑风高 🌚️
有	有 🈶️
有毒	有毒 ☠️ 🤢
有病	有病 🤒️
有轨电车	有轨电车 🚋️
有邮件	有邮件 📫️
有钱	有钱 💰️
有钱人	有钱人 💰️
有雨	有雨 🌧️
有云	有云 ☁️
有电	有电 ⚡️
有雾	有雾 🌁️
服务员	服务员 💁🏻
服务员女	服务员女 💁🏻‍♀️
服务员男	服务员男 💁🏻‍♂️
朔	朔 🌑️
望远镜	望远镜 🔭️
朝阳	朝阳 🌄️
朝鲜	朝鲜 🇰🇵
木	木 🪵
木星	木星 🪐
木柴	木柴 🪵
木槿	木槿 🌺️
木头	木头 🪵
未睡醒	未睡醒 😵‍💫
未瞓醒	未瞓醒 😵‍💫
朱古力	朱古力 🍫️
朱古力圈	朱古力圈 🍩️
朱古力棒	朱古力棒 🍫️
朱古力饼	朱古力饼 🍪️
杖	杖 🦯
杧	杧 🥭
杧果	杧果 🥭
杯	杯 🫗
杯式蛋糕	杯式蛋糕 🧁
东京	东京 🗻️
东加	东加 🇹🇴
东帝汶	东帝汶 🇹🇱
东正教	东正教 ☦️
松树	松树 🌲️
松鼠	松鼠 🐿️
板札	板札 🙌🏻️
板栗	板栗 🌰️
板球	板球 🏏️
板球棒	板球棒 🏏️
果岭	果岭 ⛳️
果汁	果汁 🍹️ 🧃
果酒	果酒 🍸️
枝	枝 🌿️
枝条	枝条 🌿️
枯萎	枯萎 🥀
枯叶	枯叶 🍂️
架子鼓	架子鼓 🥁
柏树	柏树 🌳️
某人	某人 👤️
柑橘	柑橘 🍊️
柔道	柔道 🤼🏻
柔道女	柔道女 🤼🏻‍♀️
柔道男	柔道男 🤼🏻‍♂️
查德	查德 🇹🇩
查找	查找 🔍️
柬埔寨	柬埔寨 🇰🇭
柴	柴 🪵
拐杖	拐杖 🩼
栗	栗 🌰️
栗子	栗子 🌰️
校巴	校巴 🚍️
校车	校车 🚍️
核子	核子 ⚛️
核子弹	核子弹 ☢️
核子能	核子能 ⚛️
核弹	核弹 ☢️
核武器	核武器 ☢️
核突	核突 🤢 🤮
核能	核能 ⚛️
核辐射	核辐射 ☢️
核电	核电 ⚛️
根西	根西 🇬🇬
格恩济	格恩济 🇬🇬
格林纳达	格林纳达 🇬🇩
格瑞那达	格瑞那达 🇬🇩
格陵兰	格陵兰 🇬🇱
格鲁吉亚	格鲁吉亚 🇬🇪
桃	桃 🍑️
桃花	桃花 🌸️
桌球	桌球 🎱️
桌游	桌游 🎴️
桌游卡	桌游卡 🎴️
桑拿	桑拿 🧖🏻
桑拿女	桑拿女 🧖🏻‍♀️
桑拿男	桑拿男 🧖🏻‍♂️
桶	桶 🪣
梅花	梅花 ♣️ 🌸️
梅花鹿	梅花鹿 🦌
条城	条城 🏯️
条子	条子 👮🏻
条子女	条子女 👮🏻‍♀️
条子男	条子男 👮🏻‍♂️
枭	枭 🦉
梨	梨 🍐️
梯	梯 🪜
梯子	梯子 🪜
梳	梳 🪮
梵蒂冈	梵蒂冈 🇻🇦
梵铃	梵铃 🎻️
棍网球	棍网球 🥍
棒	棒 👍🏻️ 💯️ 🤩
棒呆	棒呆 🤩
棒棒糖	棒棒糖 🍭️
棒球	棒球 ⚾️
棕圆	棕圆 🟤
棕心	棕心 🤎
棕榈	棕榈 🌴️
棕熊	棕熊 🐻️
森林	森林 🌲️
棺	棺 ⚰️
棺材	棺材 ⚰️
椅	椅 💺️ 🪑
椅子	椅子 🪑
椒盐卷饼	椒盐卷饼 🥨
椪柑	椪柑 🍊️
椰	椰 🥥
椰子树	椰子树 🌴️
椰汁	椰汁 🥥
椰肉	椰肉 🥥
椰蓉	椰蓉 🥥
枫	枫 🍁️
枫叶	枫叶 🍁️
榔头	榔头 🔨️
杠铃	杠铃 🏋🏻️
杠铃女	杠铃女 🏋🏻‍♀️
杠铃男	杠铃男 🏋🏻‍♂️
槽耐	槽耐 🤮
乐曲	乐曲 🎼️
标签	标签 🏷️ 📑️
模糊	模糊 🫨
模里西斯	模里西斯 🇲🇺
树	树 🌲️ 🌳️
树懒	树懒 🦥
树木	树木 🌲️
树枝	树枝 🌿️
树獭	树獭 🦥
树苗	树苗 🌱️
树袋熊	树袋熊 🐨️
樽	樽 🏺️
橄榄	橄榄 🫒
橄榄枝	橄榄枝 🕊️
橄榄球	橄榄球 🏉️
橘子	橘子 🍊️
橘心	橘心 🧡
橘色	橘色 🟧
橘黄	橘黄 🟧
橘黄色	橘黄色 🟧
橙	橙 🟧
橙圆	橙圆 🟠
橙子	橙子 🍊️
橙心	橙心 🧡
橙色	橙色 🟧
机器人	机器人 🤖️
机器腿	机器腿 🦿
机器臂	机器臂 🦾
机械腿	机械腿 🦿
机械臂	机械臂 🦾
机长	机长 🧑🏻‍✈️
机长女	机长女 👩🏻‍✈️
机长男	机长男 👨🏻‍✈️
机灵	机灵 😉️
档案	档案 🗃️
档案夹	档案夹 📁️
档案柜	档案柜 🗄️
档案盒	档案盒 🗃️
档案箱	档案箱 🗃️
档案袋	档案袋 🗂️
检察	检察 🧐
台历	台历 📆️
台球	台球 🎱️
柠檬	柠檬 🍋️
樱桃	樱桃 🍒️
樱花	樱花 🌸️
歌厅	歌厅 🪩
歌手	歌手 🧑🏻‍🎤
歌手女	歌手女 👩🏻‍🎤
歌手男	歌手男 👨🏻‍🎤
歌星	歌星 🧑🏻‍🎤
歌星女	歌星女 👩🏻‍🎤
歌星男	歌星男 👨🏻‍🎤
歌舞厅	歌舞厅 🪩
叹问号	叹问号 ⁉️
叹号	叹号 ❕️ ❗️
欧元	欧元 💶️
欧圆	欧圆 💶️
欧洲	欧洲 🌍️
欧盟	欧盟 🇪🇺
欢呼	欢呼 🙋🏻 🥳
欢呼女	欢呼女 🙋🏻‍♀️
欢呼男	欢呼男 🙋🏻‍♂️
欢庆	欢庆 🎊️ 🙌🏻️
欢迎	欢迎 🙋🏻
欢迎女	欢迎女 🙋🏻‍♀️
欢迎男	欢迎男 🙋🏻‍♂️
止血胶布	止血胶布 🩹
正	正 ✔️
正中红心	正中红心 🎯️
正装	正装 👔️
武术服	武术服 🥋
歪嘴	歪嘴 🤪
死定了	死定了 😠️ 😾️
死火山	死火山 🗻️
死猪	死猪 🐖️
残月	残月 🌘️
残杖	残杖 🩼
残疾	残疾 🧑🏻‍🦼 🧑🏻‍🦽
残疾人	残疾人 🧑🏻‍🦼 🧑🏻‍🦽
残疾人女	残疾人女 👩🏻‍🦼 👩🏻‍🦽
残疾人男	残疾人男 👨🏻‍🦼 👨🏻‍🦽
残疾人设施	残疾人设施 ♿️
残疾女	残疾女 👩🏻‍🦼 👩🏻‍🦽
残疾男	残疾男 👨🏻‍🦼 👨🏻‍🦽
残阳	残阳 🌇️
僵尸	僵尸 🧟
僵尸女	僵尸女 🧟‍♀️
僵尸男	僵尸男 🧟‍♂️
母	母 👩🏻️
母女	母女 👩‍👧
母女俩	母女俩 👩‍👧
母子	母子 👩‍👦
母子俩	母子俩 👩‍👦
母亲	母亲 👩🏻️
母鸡	母鸡 🐔️
比	比 🆚️
比利时	比利时 🇧🇪
比基尼	比基尼 👙️
比心	比心 🫰🏻
比爱心	比爱心 🫶🏻
比萨	比萨 🍕️
毛毛虫	毛毛虫 🐛️
毛线	毛线 🧶
毛线团	毛线团 🧶
毛里塔尼亚	毛里塔尼亚 🇲🇷
毛里求斯	毛里求斯 🇲🇺
牦牛	牦牛 🦬
民主刚果	民主刚果 🇨🇩
民国	民国 🇹🇼
民工	民工 👷🏻
民工女	民工女 👷🏻‍♀️
民工男	民工男 👷🏻‍♂️
民警	民警 👮🏻
民警女	民警女 👮🏻‍♀️
民警男	民警男 👮🏻‍♂️
气泡	气泡 🫧
气泡酒	气泡酒 🍾️
气球	气球 🎈️
气馁	气馁 🙁️
氢弹	氢弹 ☢️
水	水 💧️
水战	水战 🔫️
水族馆	水族馆 🐳️
水晶球	水晶球 🔮️
水桶	水桶 🪣
水枪	水枪 🔫️
水母	水母 🪼
水滴	水滴 💧️
水牛	水牛 🐃️
水獭	水獭 🦦
水球	水球 🤽🏻
水球女	水球女 🤽🏻‍♀️
水球男	水球男 🤽🏻‍♂️
水瓶座	水瓶座 ♒️
水笔	水笔 🖋️
水蜜桃	水蜜桃 🍑️
水饺	水饺 🥟
水龙头	水龙头 🚰️
求	求 🥹
求救	求救 🆘️
求求你	求求你 🥺
汗	汗 😓️ 😢️ 😥️ 😿️
污染	污染 🏭️ 😷️
江豚	江豚 🐡️
汶莱	汶莱 🇧🇳
汽水	汽水 🥤
汽艇	汽艇 🛥️
沐浴	沐浴 🛁️
沐浴乳	沐浴乳 🧴
沐浴露	沐浴露 🧴
没了	没了 😖️
没事的	没事的 🤗️
没问题	没问题 👌🏻️
没想好	没想好 😕️
没意思	没意思 😞️ 😴️
没戏	没戏 😔️
没有新邮件	没有新邮件 📬️
没有邮件	没有邮件 📪️
没眼看	没眼看 🙈️
没睡醒	没睡醒 😵‍💫
没听看	没听看 🙉️
没脸见人	没脸见人 🙈️
没兴趣	没兴趣 😌️
没说	没说 🙊️
没钱	没钱 💸️
没钱了	没钱了 💸️
没门	没门 🙅🏻
没门女	没门女 🙅🏻‍♀️
没门男	没门男 🙅🏻‍♂️
没电	没电 🪫
冲凉	冲凉 🚿️
沙冰	沙冰 🍧️
沙拉	沙拉 🥗
沙漏	沙漏 ⌛️
沙漠	沙漠 🌵️ 🏜️
沙滩	沙滩 🏖️
沙滩伞	沙滩伞 ⛱️
沙滩阳伞	沙滩阳伞 ⛱️
沙乌地阿拉伯	沙乌地阿拉伯 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
沙发	沙发 🛋️
沮丧	沮丧 🙍🏻
沮丧女	沮丧女 🙍🏻‍♀️
沮丧男	沮丧男 🙍🏻‍♂️
河狸	河狸 🦫
河豚	河豚 🐡️
河马	河马 🦛
油桶	油桶 🛢️
油灯	油灯 🪔
油画棒	油画棒 🖍️
油站	油站 ⛽️
油筒	油筒 🛢️
泊位	泊位 🅿️
泊车	泊车 🅿️
法国	法国 🇫🇷
法国王室	法国王室 ⚜️
法官	法官 🧑🏻‍⚖️
法官女	法官女 👩🏻‍⚖️
法官男	法官男 👨🏻‍⚖️
法属南方属地	法属南方属地 🇹🇫
法属圭亚那	法属圭亚那 🇬🇫
法属玻里尼西亚	法属玻里尼西亚 🇵🇫
法师	法师 🧙🏻
法师女	法师女 🧙🏻‍♀️
法师男	法师男 🧙🏻‍♂️
法拉利	法拉利 🏎️
法棍	法棍 🥖
法罗群岛	法罗群岛 🇫🇴
法蒂玛之手	法蒂玛之手 🪬
法兰西	法兰西 ⚜️ 🇫🇷
法轮	法轮 ☸️
法轮功	法轮功 ☸️
法轮大法	法轮大法 ☸️
泛舟	泛舟 🚣🏻
泛舟女	泛舟女 🚣🏻‍♀️
泛舟男	泛舟男 🚣🏻‍♂️
泡	泡 🫧
波利维亚	波利维亚 🇧🇴
波士尼亚赫塞哥维纳	波士尼亚赫塞哥维纳 🇧🇦
波多黎各	波多黎各 🇵🇷
波奈	波奈 🇧🇶
波斯	波斯 🇮🇷
波斯尼亚和黑塞哥维纳	波斯尼亚和黑塞哥维纳 🇧🇦
波札那	波札那 🇧🇼
波浪	波浪 🌊️
波浪号	波浪号 〰️
波罗	波罗 🍍️
波兰	波兰 🇵🇱
波黑	波黑 🇧🇦
注目	注目 👁️
注视	注视 👁️
泰国	泰国 🇹🇭
泰迪熊	泰迪熊 🧸
泳衣	泳衣 🩱
泳装	泳装 👙️
泳裤	泳裤 🩲
洋服	洋服 🤵🏻
洋服女	洋服女 🤵🏻‍♀️
洋服男	洋服男 🤵🏻‍♂️
洋竽	洋竽 🥔
洋蒜	洋蒜 🧅
洋葱	洋葱 🧅
洋酒	洋酒 🥃
洗浴	洗浴 🛀🏻️ 🛁️
洗澡	洗澡 🛀🏻️ 🛁️
洗发露	洗发露 🧴
洞	洞 🕳️
津巴布韦	津巴布韦 🇿🇼
洪都拉斯	洪都拉斯 🇭🇳
派	派 🥧
流口水	流口水 🤤
流星	流星 🌠️
流星雨	流星雨 🌠️
流涎	流涎 🤤
流泪	流泪 😭️
流鼻涕	流鼻涕 🤧
浣熊	浣熊 🦝
浪	浪 🌊️
浮潜	浮潜 🤿
海	海 🌊️
海上日出	海上日出 🌅️
海啸	海啸 🌊️
海地	海地 🇭🇹
海岛	海岛 🏝️
海底世界	海底世界 🐳️
海棠	海棠 🌺️
海洋世界	海洋世界 🐳️
海浪	海浪 🌊️
海滩	海滩 🏖️
海滩伞	海滩伞 ⛱️
海滩阳伞	海滩阳伞 ⛱️
海狮	海狮 🦭
海产	海产 🐟️
海盗	海盗 🏴‍☠️
海盗旗	海盗旗 🏴‍☠️
海绵	海绵 🧽
海绵擦	海绵擦 🧽
海蜇	海蜇 🪼
海螺	海螺 🐚️
海豚	海豚 🐬️
海豹	海豹 🦭
海边	海边 🏖️
海关	海关 🛃️
海鲜	海鲜 🐟️
消防员	消防员 🧑🏻‍🚒
消防员女	消防员女 👩🏻‍🚒
消防员男	消防员男 👨🏻‍🚒
消防车	消防车 🚒️
凉鞋	凉鞋 👡️ 🩴
淋浴	淋浴 🚿️
泪	泪 😭️
深夜	深夜 🌃️
混乱	混乱 🙃️
浅蓝心	浅蓝心 🩵
清晨	清晨 🌄️
清真寺	清真寺 🕌️
清空	清空 🆑️
清酒	清酒 🍶️
清除	清除 🆑️
减	减 ➖️
渡口	渡口 ⛴️
渡渡鸟	渡渡鸟 🦤
渡轮	渡轮 ⛴️
渴望	渴望 😻️
游泳	游泳 🏊🏻
游泳圈	游泳圈 🛟
游泳女	游泳女 🏊🏻‍♀️
游泳男	游泳男 🏊🏻‍♂️
汤加	汤加 🇹🇴
汤面	汤面 🍜️
満	満 🈵️
准确	准确 🎯️
溜冰	溜冰 ⛸️
溜溜球	溜溜球 🪀
温度计	温度计 🌡️
温泉	温泉 ♨️
溶剂	溶剂 🧪
溶液	溶液 🧪
灭火器	灭火器 🧯
灭火队	灭火队 🧑🏻‍🚒
灭火队女	灭火队女 👩🏻‍🚒
灭火队男	灭火队男 👨🏻‍🚒
滑冰	滑冰 ⛸️
滑动开关	滑动开关 🎚️
滑板	滑板 🎨️ 🛹
滑板车	滑板车 🛴
滑杆	滑杆 🎚️
滑梯	滑梯 🛝
滑稽	滑稽 😏️
滑雪	滑雪 ⛷️ 🏂🏻️
滑雪板	滑雪板 🎿️
滑雪靴	滑雪靴 🎿️
滑鼠	滑鼠 🖱️
卤煮	卤煮 🍢️
滚	滚 😛️ 🤬
滚犊子	滚犊子 😛️
滚粗	滚粗 🤬
满	满 🈵️
满分	满分 💯️
满月	满月 🌕️
渔	渔 🎣️
漂亮	漂亮 😍️ 😻️
演讲	演讲 🗣️
漠然	漠然 😶️
汉堡	汉堡 🍔️
汉堡包	汉堡包 🍔️
汉服	汉服 👘️
漫步	漫步 🚶🏻
漫步女	漫步女 🚶🏻‍♀️
漫步男	漫步男 🚶🏻‍♂️
涨	涨 🆙️ 📈️
潜水	潜水 🤿
潜水镜	潜水镜 🤿 🥽
潮女	潮女 👩🏻‍🎤
潮男	潮男 👨🏻‍🎤
澡盆	澡盆 🛁️
泽西	泽西 🇯🇪
澳大利亚	澳大利亚 🇦🇺
澳洲	澳洲 🇦🇺 🌏️
澳门	澳门 🇲🇴
激动	激动 ❤️‍🔥
激情	激情 ❤️‍🔥
溅	溅 💦️
灌木	灌木 🌳️
洒水	洒水 💦️
火	火 🔥️
火山	火山 🌋️
火山喷发	火山喷发 🌋️
火烈鸟	火烈鸟 🦩
火焰	火焰 🔥️
火热	火热 ❤️‍🔥
火着	火着 🔥️
火箭	火箭 🚀️
火花	火花 ❇️ 💥️
火苗	火苗 🔥️
火警	火警 🚨️ 🧑🏻‍🚒
火警女	火警女 👩🏻‍🚒
火警男	火警男 👨🏻‍🚒
火车站	火车站 🚉️
火车箱	火车箱 🚆️
火车头	火车头 🚂️ 🚆️
火锅	火锅 🍲️
火鸡	火鸡 🦃️
灰心	灰心 🩶
灰老鼠	灰老鼠 🐀️
灰鼠	灰鼠 🐀️
炎热	炎热 🥵 🫠
炮仗	炮仗 🧨
炸了	炸了 🤯
炸弹	炸弹 💣️
炸虾	炸虾 🍤️
乌克兰	乌克兰 🇺🇦
乌孜别克	乌孜别克 🇺🇿
乌干达	乌干达 🇺🇬
乌拉圭	乌拉圭 🇺🇾
乌兹别克	乌兹别克 🇺🇿
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌贼	乌贼 🦑
乌龟	乌龟 🐢️
烤地瓜	烤地瓜 🍠️
烤红薯	烤红薯 🍠️
烤薄饼	烤薄饼 🍕️
烤鸡腿	烤鸡腿 🍖️
烤饼	烤饼 🥞 🫓
焗饭	焗饭 🥘
无	无 🈚️
无助	无助 🙍🏻
无助女	无助女 🙍🏻‍♀️
无助男	无助男 🙍🏻‍♂️
无所谓	无所谓 😌️ 🤷🏻
无所谓女	无所谓女 🤷🏻‍♀️
无所谓男	无所谓男 🤷🏻‍♂️
无望	无望 🙍🏻
无望女	无望女 🙍🏻‍♀️
无望男	无望男 🙍🏻‍♂️
无穷	无穷 ♾️
无穷大	无穷大 ♾️
无线网	无线网 🛜
无聊	无聊 😞️ 😴️
无能为力	无能为力 🤷🏻
无能为力女	无能为力女 🤷🏻‍♀️
无能为力男	无能为力男 🤷🏻‍♂️
无语	无语 💬️
无辜	无辜 😐️
无邮件	无邮件 📪️
无障碍	无障碍 ♿️
无障碍设施	无障碍设施 ♿️
焦糖奶油	焦糖奶油 🍮️
焰火	焰火 🎆️
煎蛋	煎蛋 🍳️
煎鸡蛋	煎鸡蛋 🍳️
煎饼	煎饼 🥞
烟	烟 🚬️
烟囱	烟囱 🏭️
烟火	烟火 🎆️
烟花	烟花 🎆️
照相	照相 📸️
照相机	照相机 📷️
熊	熊 🐻️
熊市	熊市 📉️
熊猫	熊猫 🐼️
熔化	熔化 🫠
热	热 ☀️ 🔥️ 🥵 🫠
热带鱼	热带鱼 🐠️
热心	热心 ❤️‍🔥
热情	热情 ❤️‍🔥
热爱	热爱 😻️
热恋中	热恋中 💑🏻️
热狗	热狗 🌭️
热茶	热茶 🍵️
灯	灯 💡️
灯泡	灯泡 💡️
灯神	灯神 🧞
灯神女	灯神女 🧞‍♀️
灯神男	灯神男 🧞‍♂️
灯笼	灯笼 🏮️
烧火	烧火 🔥️
烧瓶	烧瓶 ⚗️
烧着	烧着 🔥️
烫	烫 🥵
烫口	烫口 🥵
营	营 🈺️
爆炸	爆炸 💥️ 🤯
爆竹	爆竹 🧨
爆米花	爆米花 🍿️
烂	烂 👎🏻️
烂房子	烂房子 🏚️
烂玩意	烂玩意 😒️
烂玩意儿	烂玩意儿 😒️
爪	爪 🫳🏻
爬泳	爬泳 🏊🏻
爬泳女	爬泳女 🏊🏻‍♀️
爬泳男	爬泳男 🏊🏻‍♂️
为何	为何 🤔️
为啥	为啥 🤔️
为甚么	为甚么 🤔️
父	父 👨🏻️
父女	父女 👨‍👧
父女俩	父女俩 👨‍👧
父子	父子 👨‍👦
父子俩	父子俩 👨‍👦
父亲	父亲 👨🏻️
爸	爸 👨🏻️
爸爸	爸爸 👨🏻️
爷爷	爷爷 👴🏻️
爽	爽 ☺️
床	床 🛏️
墙砖	墙砖 🧱
版权	版权 ©️
牙	牙 🦷
牙刷	牙刷 🪥
牙买加	牙买加 🇯🇲
牙齿	牙齿 🦷
牛	牛 🐂️ 🐃️ 🐄️ 🦬
牛乳	牛乳 🥛
牛仔	牛仔 🤠
牛仔裤	牛仔裤 👖️
牛奶	牛奶 🥛
牛市	牛市 📈️
牛年	牛年 🐮️
牛排	牛排 🥩
牛油	牛油 🧈
牛油果	牛油果 🥑
牛肉	牛肉 🐂️
牛头	牛头 🐮️
牡羊座	牡羊座 ♈️
牡蛎	牡蛎 🦪
特克斯和凯科斯群岛	特克斯和凯科斯群岛 🇹🇨
特立尼达和多巴哥	特立尼达和多巴哥 🇹🇹
特里斯坦达库尼亚	特里斯坦达库尼亚 🇸🇭
牵手	牵手 🧑🏻‍🤝‍🧑🏻
犀	犀 🦏
犀牛	犀牛 🦏
犬	犬 🐕️
状师	状师 🧑🏻‍⚖️
状师女	状师女 👩🏻‍⚖️
状师男	状师男 👨🏻‍⚖️
狂笑	狂笑 🤣
狐	狐 🦊
狐狸	狐狸 🦊
狗	狗 🐕️ 🐩️
狗娘养的	狗娘养的 🤬
狗年	狗年 🐶️
狗日的	狗日的 🤬
狗狗	狗狗 🐩️
狗绳	狗绳 🐕‍🦺
狗肉	狗肉 🐕️
狗杂种	狗杂种 🤬
狗头	狗头 🐶️
狡黠	狡黠 🌝️
狸	狸 🦫
狼	狼 🐺️
狼狗	狼狗 🐺️
